ep 0, loss 0.7082006335258484
ep 1, loss 0.4316742420196533
ep 2, loss 0.35828202962875366
ep 3, loss 0.29752740263938904
ep 4, loss 0.22352126240730286
ep 5, loss 0.2676038146018982
ep 6, loss 0.2083875685930252
ep 7, loss 0.17941009998321533
ep 8, loss 0.20002029836177826
ep 9, loss 0.17912663519382477
ep 10, loss 0.14045700430870056
ep 11, loss 0.15084369480609894
ep 12, loss 0.1632990539073944
ep 13, loss 0.15354984998703003
ep 14, loss 0.11339275538921356
ep 15, loss 0.12186650931835175
ep 16, loss 0.09418460726737976
ep 17, loss 0.11990941315889359
ep 18, loss 0.1352705955505371
ep 19, loss 0.11679372936487198
