price,area,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
4515000,9860,1,1,1,0,0,0,0,0,0,1
2485000,3000,1,2,0,0,0,0,0,0,0,1
8120000,6840,1,2,1,1,1,0,1,1,0,0
4200000,2325,1,2,0,0,0,0,0,0,0,1
8190000,5960,3,2,1,1,1,0,0,1,0,2
5250000,10269,1,1,1,0,0,0,0,1,1,1
4907000,4200,1,2,1,0,0,0,0,1,0,0
4760000,6321,1,2,1,0,1,0,1,1,0,0
7350000,6000,2,2,1,1,0,0,1,1,0,1
9100000,6000,1,2,1,0,1,0,0,2,0,1
3500000,7350,1,1,1,0,0,0,0,1,0,1
2520000,3180,1,1,0,0,0,0,0,0,0,2
3500000,7424,1,1,0,0,0,0,0,0,0,2
3010000,3750,1,2,1,0,0,0,0,0,0,2
3360000,3720,1,1,0,0,0,0,1,0,0,2
2940000,3660,1,2,0,0,0,0,0,0,0,2
3920000,2145,2,1,1,0,1,0,0,0,1,2
4340000,3500,1,2,1,0,0,0,0,2,0,0
3255000,3930,1,1,0,0,0,0,0,0,0,2
6930000,13200,1,1,1,0,1,1,0,1,0,0
4830000,6862,1,2,1,0,0,0,1,2,1,0
5320000,7800,1,1,1,0,1,0,1,2,1,2
4410000,4900,1,2,1,0,1,0,0,0,0,1
4550000,3760,1,1,1,0,0,0,0,2,0,1
7210000,6000,2,4,1,1,0,0,1,1,0,0
3920000,8080,1,1,1,0,0,0,1,2,0,1
2520000,3000,1,2,1,0,0,0,0,0,0,0
3500000,5900,1,1,1,0,0,0,0,1,0,0
3640000,3520,2,1,1,0,1,0,0,0,0,1
5390000,6710,2,2,1,1,1,0,0,1,1,0
3353000,2700,1,1,0,0,0,0,0,0,0,0
6720000,5020,1,4,1,0,0,0,1,0,1,2
5110000,3000,1,2,1,0,1,0,0,0,0,2
3773000,2520,2,1,0,0,1,0,1,1,0,0
3220000,4320,1,1,0,0,0,0,0,1,0,2
6125000,6420,1,3,1,0,1,0,0,0,1,2
2870000,6000,1,1,1,0,0,0,0,0,0,1
3500000,3120,1,2,1,0,0,0,0,1,0,2
3640000,2275,1,3,1,0,0,1,1,0,1,1
4690000,6000,1,1,1,0,1,0,1,1,0,0
5600000,5000,1,4,1,0,0,0,0,0,0,0
4830000,6040,1,1,1,0,0,0,0,2,1,1
6650000,4040,1,2,1,0,1,1,0,1,0,0
3430000,1950,2,2,1,0,1,0,0,0,1,2
3990000,6480,1,2,0,0,0,0,1,1,0,1
8575000,8800,2,2,1,0,0,0,1,2,0,0
3234000,3640,1,2,1,0,1,0,0,0,0,2
5229000,7085,1,1,1,1,1,0,0,2,1,1
4550000,3520,1,1,1,0,0,0,0,0,1,1
2450000,3000,1,1,1,0,0,0,0,1,0,2
2660000,3630,3,2,0,1,0,0,0,0,0,2
5040000,6600,1,1,1,1,1,0,0,0,1,0
4550000,3640,1,2,1,0,0,0,1,0,0,0
2961000,3000,1,2,1,0,0,0,0,0,0,1
3290000,4040,1,1,1,0,0,0,0,0,0,2
2590000,3600,2,2,1,0,1,0,0,1,0,0
7350000,6000,1,2,1,0,0,0,1,1,0,2
4970000,7686,1,1,1,1,1,1,0,0,0,1
4200000,5040,1,2,1,0,1,0,1,0,0,2
2800000,3960,1,1,1,0,0,0,0,0,0,0
3220000,4370,1,2,1,0,0,0,0,0,0,2
3150000,3450,1,1,1,0,0,0,0,0,0,0
3395000,4785,1,2,1,1,1,0,1,1,0,0
4900000,4520,1,2,1,0,1,0,1,0,0,1
3500000,3990,1,2,1,0,0,0,0,0,0,1
4690000,4320,1,1,1,0,0,0,0,0,1,1
5600000,5136,1,2,1,1,1,0,1,0,1,2
8463000,6000,2,4,1,1,1,0,1,0,1,1
2940000,4960,1,1,1,0,0,0,0,0,0,2
3360000,4750,1,1,1,0,0,0,0,0,0,2
4235000,6650,1,2,1,1,0,0,0,0,0,1
2590000,4400,1,1,1,0,0,0,0,0,0,2
2940000,3600,1,2,0,0,0,0,0,1,0,2
4123000,6060,1,1,1,0,1,0,0,1,0,1
3535000,3850,1,1,1,0,0,0,0,2,0,2
