cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season
591,5,1,11,0.9394670956442456,641,7,0.9431945538974952
984,2,1,11,1.353281949301341,1418,11,0.9431945538974952
335,2,0,10,0.9474250735991896,596,12,0.9431945538974952
333,6,5,3,0.3306817820910181,565,11,0.9431945538974952
243,0,0,3,1.2060593571348743,333,10,0.8884502877862838
365,0,5,3,0.1516272781047747,712,6,0.9431945538974952
299,0,6,10,0.5495261758519822,286,12,0.9431945538974952
1290,6,2,10,1.4678212357263594,1714,11,0.9431945538974952
344,5,1,7,0.3943456057305713,544,3,0.8884502877862838
589,6,6,10,0.1706708290704632,1521,11,0.9431945538974952
458,2,0,11,0.1507758841831028,510,6,0.9431945538974952
315,3,3,2,2.0137941195617053,0,2,1.804272708628173
22,6,0,11,1.1662694673601537,18,11,0.9431945538974952
1207,6,6,10,0.7714981646687463,2569,11,0.8884502877862838
901,6,0,10,0.7834351316011626,2578,11,0.9431945538974952
668,2,6,10,0.111837388330054,1775,11,0.8884502877862838
921,6,0,10,0.4221985285728758,1901,11,0.8884502877862838
95,6,1,10,0.1189439723633262,134,12,0.8884502877862838
19,6,0,11,1.1662694673601537,14,12,0.8884502877862838
268,6,0,1,0.5535051648294542,614,7,0.9431945538974952
1108,6,0,10,1.6548337176675467,1588,11,0.8884502877862838
359,2,0,10,0.6967487680184489,642,11,0.9431945538974952
762,6,1,7,0.9514040625766615,942,11,0.9431945538974952
313,5,0,10,0.8399923712074435,598,11,0.9431945538974952
859,5,1,6,0.0513011597463009,1273,11,0.8884502877862838
889,6,2,7,0.3497253330567065,978,11,0.0273721330556057
718,2,5,11,0.5805066937500868,1993,1,0.9431945538974952
346,3,3,2,2.0137941195617053,0,2,0.8884502877862838
1448,6,5,7,0.958510646609934,1789,6,0.8884502877862838
845,6,4,11,0.9465736796775176,1560,12,0.8884502877862838
608,6,2,10,0.0203206418481963,1207,11,0.9431945538974952
30,0,0,3,1.2856391366843158,183,6,0.8884502877862838
80,6,3,2,1.2179963240672906,486,12,0.9431945538974952
472,3,3,2,0.4102615616404595,2775,11,0.8884502877862838
650,0,2,10,1.9691738468878408,1038,11,0.8884502877862838
20,2,1,6,0.9275301287118292,39,7,0.8884502877862838
827,6,4,11,0.7396662528489698,1518,12,0.9431945538974952
357,0,0,3,0.1158163773075261,393,11,0.8884502877862838
1003,6,4,5,1.0460484041143194,1791,6,0.8884502877862838
75,5,3,2,1.0150678862162148,466,12,0.8884502877862838
1060,4,4,10,1.432010334929111,3105,6,0.8884502877862838
1163,5,1,10,0.2223976857776001,2512,11,0.8884502877862838
1232,5,1,5,0.111837388330054,1467,6,0.9431945538974952
324,5,0,10,0.8399923712074435,211,11,0.8884502877862838
281,6,0,11,0.9991519303063264,751,11,0.8884502877862838
277,3,3,2,0.9474250735991896,1499,6,0.8884502877862838
999,5,0,10,0.6171689884690075,2153,6,0.8884502877862838
813,2,5,11,0.1229229613407983,1808,12,0.9431945538974952
165,2,0,5,0.4213471346512039,251,12,0.8884502877862838
752,4,2,10,0.7317082748940257,1273,11,0.8884502877862838
424,6,5,9,0.6330849443788957,608,5,0.9431945538974952
302,2,0,10,0.597274043581647,772,11,0.8884502877862838
67,6,3,2,1.3333870044139808,406,12,0.9431945538974952
422,1,6,8,0.0362365977580846,1190,11,0.9431945538974952
283,6,0,6,0.9275301287118292,598,1,0.8884502877862838
76,0,0,5,1.3134920595266204,63,6,0.9431945538974952
243,6,0,6,0.8002024814327229,549,1,1.804272708628173
211,2,0,7,0.4381144844827641,215,11,0.9431945538974952
453,2,0,10,0.3943456057305713,733,12,0.8884502877862838
179,0,0,5,0.0831330715660775,311,6,0.8884502877862838
1590,2,1,10,0.3099354432819858,3098,11,0.9431945538974952
391,6,0,8,0.2152911017443279,646,9,0.8884502877862838
690,6,1,5,0.7794561426236906,965,1,0.9431945538974952
405,1,0,5,0.1746498180479352,674,11,0.8884502877862838
1219,6,0,10,1.2529558309428672,1580,6,0.8884502877862838
1488,6,1,5,0.3426187490234343,2475,11,0.8884502877862838
544,2,1,6,0.0640895206003891,1208,11,1.804272708628173
768,2,5,5,1.503632136523608,1337,6,0.9431945538974952
1451,6,4,1,1.0540063820692636,2903,12,0.8884502877862838
409,0,2,11,0.2621875755523209,671,7,0.9431945538974952
159,5,0,7,0.652979889266256,233,6,0.8884502877862838
664,6,4,3,2.215871163491109,2331,11,0.8884502877862838
875,6,5,3,0.0242996308256684,884,6,0.9431945538974952
1059,6,4,11,1.4877161806137198,2268,6,0.9431945538974952
841,6,5,10,0.0632381266787172,2550,11,0.0273721330556057
220,6,4,1,0.6768538231310886,948,12,0.9431945538974952
245,5,0,10,1.1423955334953213,201,11,0.8884502877862838
111,1,0,10,0.5296312309646218,86,3,0.9431945538974952
259,5,3,2,0.0680685095778612,662,12,0.9431945538974952
846,2,6,5,0.2025027408902398,1190,11,0.9431945538974952
376,3,0,10,2.0137941195617053,0,2,0.8884502877862838
544,5,1,0,0.1556062670822468,529,6,0.8884502877862838
461,4,3,2,0.3187448151586018,1520,6,0.0273721330556057
489,6,2,10,0.5773790986942867,852,6,0.8884502877862838
294,2,0,10,0.9275301287118292,695,11,0.8884502877862838
876,6,4,11,0.9067837899027968,1421,12,0.9431945538974952
735,6,5,5,0.3625136939107947,614,6,0.9431945538974952
826,2,0,10,2.0049847476850893,1623,11,0.8884502877862838
999,6,0,10,2.2874929650856064,1945,11,0.9431945538974952
844,6,4,11,0.2542295975973768,1105,6,0.8884502877862838
108,3,0,5,1.3294080154365089,78,6,0.9431945538974952
103,0,0,5,0.4182195395954037,96,6,0.0273721330556057
1013,6,4,6,1.2728507758302277,2491,12,0.9431945538974952
513,5,1,10,0.4221985285728758,750,11,0.9431945538974952
446,5,1,10,0.4142405506179316,744,11,0.9431945538974952
328,0,0,11,0.2550809915190487,681,9,0.8884502877862838
632,2,5,3,0.2113121127668558,966,3,0.9431945538974952
819,6,5,10,0.0402155867355567,2733,11,0.8884502877862838
71,2,0,7,0.1030280164534379,53,6,0.9431945538974952
720,5,1,10,1.0946476657656563,967,11,0.9431945538974952
595,5,1,11,0.3107868372036577,715,1,0.9431945538974952
898,2,1,10,0.6083596165923914,1089,6,1.804272708628173
641,6,5,3,0.5535051648294542,638,6,1.804272708628173
475,1,0,5,0.1038794103751098,667,11,0.9431945538974952
110,6,1,5,1.4925465635128636,227,6,0.9431945538974952
939,6,4,6,0.3426187490234343,2372,10,0.8884502877862838
994,5,1,5,0.4420934734602362,1320,6,0.8884502877862838
232,6,1,11,1.289618125661788,487,7,0.9431945538974952
317,2,5,7,0.9116141728019408,205,6,0.9431945538974952
222,0,0,4,0.4014521897638435,175,6,0.8884502877862838
1102,6,0,10,2.0049847476850893,3066,11,0.8884502877862838
925,3,3,2,0.9832359743964384,2461,6,0.0273721330556057
839,6,0,10,1.5275060703884404,1571,11,0.9431945538974952
502,2,5,11,0.5893160656267029,793,11,0.8884502877862838
154,4,0,3,0.2741245424847371,198,12,0.9431945538974952
825,2,5,7,0.485862352212429,1037,8,0.9431945538974952
314,6,5,9,0.3187448151586018,645,5,0.8884502877862838
239,2,1,5,1.1384165445178491,571,6,0.8884502877862838
494,2,0,10,0.9951729413288544,1244,11,0.8884502877862838
462,0,2,3,0.3744506608432109,655,4,0.8884502877862838
305,2,1,10,1.1026056437206004,611,11,1.804272708628173
698,3,3,2,1.5562103871524169,2198,6,0.0273721330556057
476,3,0,10,2.0137941195617053,0,2,0.8884502877862838
876,2,6,11,0.3338093771468182,1285,11,0.8884502877862838
141,4,0,5,0.8192460323984113,198,12,0.0273721330556057
1035,6,0,10,2.526232303733931,3538,11,0.9431945538974952
103,2,0,3,0.5614631427843984,217,11,0.8884502877862838
635,6,4,8,0.1516272781047747,1266,1,0.9431945538974952
333,2,6,7,0.2900404983946254,408,6,0.9431945538974952
273,5,0,7,0.863866305072276,203,11,0.8884502877862838
889,6,0,11,2.438694546229545,941,12,0.8884502877862838
528,5,1,10,0.6242755725022796,765,6,0.9431945538974952
950,2,5,11,0.214439707822656,1984,12,0.9431945538974952
1042,4,2,5,1.125628183663761,1625,11,0.9431945538974952
348,0,6,7,0.0800054765102774,357,3,0.9431945538974952
475,2,1,10,0.3863876277756271,867,6,0.9431945538974952
573,2,3,2,0.5893160656267029,1082,12,0.8884502877862838
97,0,0,5,0.6768538231310886,97,6,0.0273721330556057
1071,6,0,10,1.658812706645019,2856,11,0.8884502877862838
628,6,5,11,0.0919424434426936,1242,12,0.9431945538974952
388,2,6,11,0.111837388330054,451,12,0.8884502877862838
211,2,1,7,0.5296312309646218,610,6,0.8884502877862838
252,0,0,5,0.4133891566962597,292,11,0.9431945538974952
579,6,0,5,0.3059564543045137,546,11,0.9431945538974952
275,2,0,11,0.3227238041360739,597,9,0.9431945538974952
492,6,5,3,0.7444966357481138,569,11,0.8884502877862838
99,2,0,4,0.485862352212429,190,11,0.8884502877862838
1379,6,2,10,1.6747286625549072,1693,11,0.9431945538974952
435,6,6,5,0.1905657739578236,369,11,0.9431945538974952
969,5,5,0,0.5168428701105336,2001,0,0.9431945538974952
802,5,1,6,0.64417051738964,1324,11,0.9431945538974952
558,6,2,10,0.0282786198031404,1177,11,0.9431945538974952
951,6,2,10,1.073901326956624,1051,11,0.8884502877862838
126,6,0,5,0.4420934734602362,194,6,0.9431945538974952
630,6,6,10,0.2223976857776001,1273,11,0.8884502877862838
697,2,5,10,0.0999004213976378,2631,11,0.0273721330556057
35,6,0,7,0.7285806798382255,51,4,0.9431945538974952
714,2,1,10,0.1834591899245513,662,1,0.8884502877862838
